scheme,replicate,k,bootstrap_n,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
household_bootstrap,16,7,5605,9,0.4153943693555318,0.47432637919895676,0.12277880788243073
household_bootstrap,16,8,5605,9,0.9008711148205638,0.9038667495229755,0.12832631630198096
household_bootstrap,17,2,5605,9,0.9583233635523114,0.9788920899026579,0.14970883273467867
household_bootstrap,17,3,5605,9,0.2314772766203345,0.36016029607717104,0.13262533705155316
household_bootstrap,17,4,5605,9,0.9084185689847468,0.9175676309978702,0.1338241156440383
household_bootstrap,17,5,5605,9,0.9372301169548864,0.9433557978088336,0.13097748531539966
household_bootstrap,17,6,5605,9,0.7756261928040205,0.6947938053533903,0.1326136326868816
household_bootstrap,17,7,5605,9,0.6139432030568625,0.6514057805871615,0.13540659178148554
household_bootstrap,17,8,5605,9,0.6302232032991578,0.6513265703798963,0.13892940933820752
household_bootstrap,18,2,5605,9,0.962522147438966,0.9810377733241382,0.14239053726863066
household_bootstrap,18,3,5605,9,0.9263016420150372,0.9446440551588803,0.12217031665160451
household_bootstrap,18,4,5605,9,0.395610779182938,0.5587690434180164,0.12449921087739357
household_bootstrap,18,5,5605,9,0.9090970640891041,0.9156310038941946,0.12356759255012446
household_bootstrap,18,6,5605,9,0.933353311215796,0.907998579711612,0.12415941103030649
household_bootstrap,18,7,5605,9,0.6943477166409775,0.7004778994827203,0.12122086202770439
household_bootstrap,18,8,5605,9,0.9003000829278599,0.8962611269963408,0.12769636873798368
household_bootstrap,19,2,5605,9,0.9236938330431195,0.961270161310382,0.15635861827407668
household_bootstrap,19,3,5605,9,0.9185746633381998,0.9368467229914011,0.1343571333316186
household_bootstrap,19,4,5605,9,0.9310942131569305,0.9412175175229907,0.1302454285831253
household_bootstrap,19,5,5605,9,0.917634270255943,0.9293211630041955,0.13153640579731035
household_bootstrap,19,6,5605,9,0.6792588204317626,0.6246563779406739,0.12704915150082863
household_bootstrap,19,7,5605,9,0.5857916357689357,0.6636997663784973,0.1302781048406229
household_bootstrap,19,8,5605,9,0.9563165770028746,0.9473320321795109,0.12789937716210278
household_bootstrap,20,2,5605,9,0.997859490583426,0.9989165127475907,0.1402128736804688
household_bootstrap,20,3,5605,9,0.2330919615677916,0.363809104246868,0.12146309513814237
household_bootstrap,20,4,5605,9,0.3821151720526979,0.541808400328517,0.1226372645588917
household_bootstrap,20,5,5605,9,0.9451286423001224,0.949691124443059,0.12407576141542817
household_bootstrap,20,6,5605,9,0.6812385417836614,0.6403133823849617,0.12404532311065147
household_bootstrap,20,7,5605,9,0.9361428149041761,0.9367275903195199,0.12816434245929126
household_bootstrap,20,8,5605,9,0.46823161960559345,0.5131488669219072,0.12977783972906945
household_bootstrap,21,2,5605,9,0.9618206901223669,0.9806594077051994,0.14870482088553974
household_bootstrap,21,3,5605,9,0.9603373652818448,0.9687164627395899,0.13232619742891422
household_bootstrap,21,4,5605,9,0.40606502517171683,0.5763070720456567,0.12004773811312058
household_bootstrap,21,5,5605,9,0.9286854570285279,0.9336895730231017,0.13119361131764953
household_bootstrap,21,6,5605,9,0.7120314002681355,0.6649796869946544,0.1295879228181239
household_bootstrap,21,7,5605,9,0.4863853105697505,0.5058423968245659,0.13490561289477843
household_bootstrap,21,8,5605,9,0.7250929413220457,0.700011428740334,0.13353545228690092
